Who?	ใคร?
Tom lies.	ทอมโกหก
Tom lost.	ทอมแพ้
Tom paid.	ทอมจ่าย
Tom quit.	ทอมแแก
Tom's up.	ทอมลุกขึ้น
Too late.	สายเกินไป
Use this.	ใช้นี่สิ
Warn Tom.	เตือนทอม
We agree.	พวกเราเห็นด้วย
We're OK.	เราโอเค
We're OK.	เราไม่เป็นอะไร
What for?	เพื่ออะไร?
Answer me.	ตอบฉัน
Birds fly.	นกบิน
Come here.	มานี่
Follow me.	ตามฉันมา
Get a job.	ออกไปหางานทำเลย
He's a DJ.	เขาเป็นดีเจ
How's Tom?	ทอมเป็นไงบ้าง?
I fainted.	ฉันเป็นลม
I'm a cop.	ฉันเป็นตำรวจ
I'm a pro.	ฉันเป็นระดับมืออาชีพนะ
I'm tired.	ฉันเหนื่อย
I'm tired.	ฉันเพลีย
Is it you?	นั่นใช่คุณไหม?
It's a TV.	มันคือทีวี
It's cold.	มันเย็น
It's mine.	มันเป็นของฉัน
Of course!	แน่นอน!
Say hello.	พูดสวัสดี
She walks.	เธอเดิน
That's it.	แค่นั้นแหละ
Tom moved.	ทอมย้ายบ้าน
Tom waved.	ทอมแกว่ง
Try again.	ลองอีกครั้ง
What's up?	ว่าไง?
Who cares?	ใครสน?
Who knows?	ใครจะรู้?
Who's Tom?	ใครคือทอม?
Wonderful!	ยอดเยี่ยม!
You tried.	คุณเหนื่อ
Am I wrong?	ฉันผิดหรือเปล่า?
Be careful.	ระวัง
Birds sing.	นกร้องเพลง
Find a job.	หางานทำ
Follow him.	ตามเขาไป
Get a life!	อย่ามายุ่ง จะทำอะไรก็ไป
Get a life.	อย่ามายุ่ง จะทำอะไรก็ไป
Hello, Tom.	สวัสดีทอม
I am a boy.	ฉันเป็นเด็กผู้ชาย
I am a man.	ฉันเป็นผู้ชาย
I like him.	ฉันชอบเขา
I like tea.	ฉันชอบชา
I like you.	ฉันชอบคุณ
I miss you.	ฉันคิดถึงคุณ
I need you.	ฉันต้องการคุณ
I want you.	ฉันต้องการคุณ
I'm a twin.	ฉันเป็นฝาแฝด
I'm hungry!	ฉันหิว!
I'm so fat.	ฉันอ้วนมาก
It's a bet.	พนันได้เลย
It's a fad.	มันเป็นเทร็นใหม่
No problem.	ไม่มีปัญหา
She smiled.	เธอยิ้ม
Step aside.	หลีกทาง
Take a bus.	ขึ้นรถเมล์
Take a nap.	นอนสักงีบ
This is it.	นี่ไง
Wait a sec.	รอแป๊ปนึง
We are men.	พวกเราคือผู้ชาย
What a day!	คำนี้มีสองความหมาย แล้วแต่สถานการณ์ 1. วันนี้เป็นวันที่แย่มากๆ 2. วันนี้เป็นวันที่เยี่ยมมากๆ
What is it?	มันคืออะไร?
Wood burns.	ไม้ไหม้
Don't worry.	ไม่ต้องกังวล
Flip a coin.	1. เป็นการบอกให้ตัดสินใจเลือกอย่างใดอย่างหนึ่ง 2. ให้โยนเหรียญเลือกหัวหรือก้อย
Grab a seat.	นั่งซิ (เป็นคำพูดที่ไม่เป็นทางการ)
Have a beer.	ดื่มเบียร์ซิ
Have a look.	มาดูซิ
Have a seat.	นั่งสิ (พูดแบบสุภาพ)
He's a liar.	เขาเป็นคนขี้โกหก
I am a cook.	ฉันเป็นพ่อครัว แม่ครัว
I had a cat.	ฉันเคยมีแมว
I have time.	ฉันมีเวลา
I live here.	ฉันอาศัยอยู่ที่นี่
I own a car.	ฉันมีรถยนต์
I said that.	ฉันพูดมัน
I saw a UFO.	ฉันเคยเห็นจานบินยูเอฟโอ
I saw a dog.	ฉันเคยเห็นสุนัข
I trust you.	ฉันไว้ใจคุณ
I'm a baker.	ฉันเป็นคนทำขนมปัง ขนมอบ
I'm a medic.	ฉันเป็นหมอฝึกหัด ฉันเป็นนักเรียนแพทย์
I'm at home.	ฉันอยู่บ้าน
I'm thirsty.	ฉันกระหายน้ำ
Is it yours?	มันเป็นของคุณหรือเปล่า?
It can't be!	เป็นไปไม่ได้!
It's a date.	ความหมายตรงตัวคือ โอเค นัดกันแล้วนะ / โอเค ตามนั้น
It's a deal.	โอเค ตามนั้นล่ะ
It's a doll.	มันคือตุ๊กตา
It's a fact.	มันคือความจริง
It's a fake.	มันเป็นของปลอม มันปลอม
It's a gift.	1. มันคือของขวัญ 2. พูดเมื่อเราทำอะไรที่คนอื่นทำไม่ได้ เพื่อที่จะเน้นว่า ฉันทำได้เพราะฉันมีความสามารถพิเศษที่ติดตัวมา
It's a harp.	มันคือฮาร์ป
It's a rule.	มันเป็นกฏ
It's a scam.	มันคือการหลอกหลวง
It's a sign.	1. ความหมายตรงตัว มันคือป้ายจราจร ป้ายบอกทาง 2. มันคือลางบอกเหตุ
It's a trap.	มันคือหลุมพราง
Make a list.	จดใว้ว่ามีอะไรบ้าง
Make a wish.	ให้อธิษฐาน อธิษฐานซิ
Money talks.	เงินบันดาลทุกสิ่ง
Nobody came.	ไม่มีใครมา
Pick a date.	เลือกวัน
Say goodbye.	พูดกล่าวลา
She's a dog.	หล่อนคือสุนัข(ตัวเมีย)
Take a bath.	อาบน้ำ
Take a bite.	ลองกัดชิมดูสักคำซิ
We'll be OK.	เราจะโอเค
We'll be OK.	เราจะไม่เป็นอะไร
What's that?	นั่นคืออะไร?
Who are you?	คุณคือใคร?
Are you busy?	คุณยุ่งอยู่ใช่ไหม?
Are you okay?	คุณสบายดีไหม?
Are you sure?	คุณแน่ใจหรือ?
Drive slowly.	ขับช้าๆ
Go to school.	ไปโรงเรียน
Good evening.	สวัสดีตอนเย็น
I like R & B.	ฉันชอบเพลงอาร์แอนด์บี
I understand.	ฉันเข้าใจ
I'm starving!	ฉันกำลังจะหิวตาย!
Is that okay?	นั่นใช้ได้ไหม
It's raining.	ฝนตก
That is mine.	นั่นเป็นของฉัน
They're gone.	พวกเขาไปแล้ว
Unbelievable!	เหลือเชื่อ!
Unbelievable!	ไม่น่าเชื่อ!
What is this?	นี่คืออะไร?
Are you crazy?	คุณบ้าหรือ?
Are you happy?	คุณมีความสุขไหม?
Are you ready?	พร้อมรึยัง
Are you there?	คุณอยู่ที่นั่นหรือไม่?
Are you tired?	คุณเหนื่อยไหม
Don't do that.	อย่าทำอย่างนั้น
Flowers bloom.	ดอกไม้บาน
I believe you.	ฉันเชื่อคุณ
I said I'd go.	ฉันบอกว่าฉันจะไป
I've got time.	ฉันมีเวลา
Speak clearly.	พูดอย่างชัดเจน
That's not OK.	นั่นไม่โอเค
There you are.	นั่นแหละ
There you are.	นั่นไง
This is Japan.	นี่คือญี่ปุ่น
We're kidding.	พวกเราล้อเล่น
What happened?	เกิดอะไรขึ้น?
Where are you?	คุณอยู่ที่ไหน?
Are you hungry?	คุณหิวไหม?
Can I help you?	ฉันช่วยคุณได้ไหม?
Do you love me?	คุณรักฉันไหม?
Happy birthday!	สุขสันต์วันเกิด!
I am in London.	ฉันอยู่ที่ลอนดอน
I'm a free man.	ฉันเป็นคนอิสระ
Leave me alone!	ทิ้งฉันไว้คนเดียว!
She's pregnant.	เธอท้อง
Stop grumbling.	หยุดบ่น
They quarreled.	พวกเขาทะเลาะกัน
What do you do?	คุณทำอะไร?
Why do you ask?	คุณถามทำไม?
Are these yours?	พวกนี้เป็นของคุณหรือไม่?
Call the police!	โทรหาตำรวจ!
Congratulations!	ขอแสดงความยินดี!
Do you remember?	คุณจำได้ไหม?
Drive carefully.	ขับรถอย่างระมัดระวัง
Green suits you.	สีเชียวเหมาะสมกับคุณ
How do we do it?	เราจะทำมันอย่างไร?
How old are you?	คุณอายุเท่าไหร่?
I was a teacher.	ฉันเป็นครู
I'm going to go.	ฉันกำลังจะไป
Is that boy Tom?	ทอมคือผู้ชายคนนั้นเหรอ?
It is up to you.	มันขึ้นอยู่กับคุณ
Merry Christmas!	สุขสันต์วันคริสต์มาส!
Open your mouth!	อ้าปากของคุณ!
That's about it.	นั่นคือทั้งหมด
This is for Tom.	นี่สำหรับทอม
We should party.	พวกเราควรปาตี้กัน
What is it like?	มันเป็นอย่างไร?
What time is it?	ตอนนี้เวลากี่โมง?
What's Tom like?	ทอมเป็นคนอย่างไร?
What's going on?	เกิดอะไรขึ้น?
You look stupid.	คุณดูโง่
You're my woman.	คุณคือผู้หญิงของฉัน
Do you live here?	คุณอาศัยอยู่ที่นี่หรือไม่?
Her name is Mary.	เธอชื่อมาเรีย
Is Tom at school?	ทอมอยู่ที่โรงเรียนไหม?
Is that from Tom?	นั่นมาจากทอมเหรอ?
Is this your car?	นี่คือรถของคุณหรือไม่
Listen carefully.	ตั้งใจฟัง
Nothing happened.	ไม่มีอะไรเกิดขึ้น
She said goodbye.	เธอบอกลา
We don't have it.	เราไม่มีมัน
What did you buy?	คุณซื้ออะไร?
What did you say?	คุณพูดอะไร?
What do you want?	คุณต้องการอะไร?
What is she like?	เธอเป็นคนแบบไหน?
What is this for?	นี่มีไว้เพื่ออะไร?
What woke you up?	คุณตื่นเพราะอะไร?
You should sleep.	คุณควรจะนอน
You should sleep.	เธอควรจะนอน
Are you ready yet?	พร้อมรึยัง
Do you have a car?	คุณมีรถไหม?
How's your father?	พ่อคุณเป็นอย่างไร
I don't blame you.	ฉันไม่โทษคุณ
I have a headache.	ฉันปวดหัว
I saw him running.	ฉันเห็นเขาวิ่ง
It's not my fault.	มันไม่ใช่ความผิดของฉัน
Life is beautiful.	ชีวิตช่างสวยงาม
Peaches are sweet.	ลูกพีชมีรสหวาน
That book is mine.	หนังสือเล่มนั้นเป็นของฉัน
That won't happen.	มันจะไม่เกิดขึ้น
These are for you.	พวกนี้สำหรับคุณ
Tom is doing that.	ทอมกำลังทำเช่นนั้น
Turn on the radio.	เปิดวิทยุ
What is your name?	คุณชื่ออะไร?
What's that thing?	สิ่งนั้นคืออะไร?
Where do you live?	คุณอาศัยอยู่ที่ไหน?
You are in my way.	เธอขวางทางฉันอยู่
Bananas are yellow.	กล้วยมีสีเหลือง
Do you remember me?	คุณจำได้ไหม?
Does Tom like Mary?	ทอมชอบแมรี่ไหม?
Hi, my name is Tom.	สวัสดีฉันชื่อทอม
How does Tom do it?	ทอมทำได้อย่างไร
How is your mother?	แม่คุณสบายดีมั้ย?
I am boiling water.	ฉันกำลังต้มน้ำ
I don't want to go.	ฉันไม่ต้องการไป
I looked around me.	ฉันมองไปรอบ ๆ
Tom likes it there.	ทอมชอบมันที่นั่น
Tom teaches French.	ทอมสอนภาษาฝรั่งเศส
Where are you from?	คุณมาจากไหน?
Why are you crying?	คุณร้องไห้ทำไม?
Why can't you come?	ทำไมคุณมาไม่ได้?
You are very brave.	คุณกล้าหาญมาก
You look very pale.	คุณดูซีดมาก
You must be joking!	คุณต้องล้อเล่นแน่ๆเลย
You're still young.	คุณยังเด็กอยู่
Answer the question.	ตอบคำถาม
Are you on Facebook?	คุณใช้ Facebook หรือเปล่า
Do you go to school?	คุณไปโรงเรียนไหม?
Don't you miss that?	คุณพลาดนั่นไม่ใช่หรือ?
Everything is ready.	ทุกอย่างพร้อมแล้ว
I make €100 a day.	ฉันได้เงินวันละ 100 ยูโร
I will be back soon.	ฉันจะกลับมาเร็วๆ นี้
I will be back soon.	เดี๋ยวฉันจะกลับมาเร็วๆนี้
Is it far from here?	มันไกลจากที่นี่ไหม?
It isn't about that.	มันไม่ใช่อย่างนั้น
Let's try something.	มาลองบางอย่างกันเถอะ
Let's try something.	ลองทำอะไรสักอย่างกัน
They're like family.	พวกเขาเหมือนครอบครัว
Those are my things.	พวกนั้นคือของของฉัน
Tom left in a hurry.	ทอมไปอย่างเร่งรีบ
We should celebrate.	พวกเราควรฉลองกัน
We're eating apples.	เรากำลังกินแอปเปิ้ล
When will you leave?	คุณจะไปเมื่อไหร่?
Where are you going?	คุณกำลังจะไปไหน?
Where is the toilet?	ห้องน้ำอยู่ที่ไหน?
Who is your teacher?	ครูของคุณคือใคร?
Are these yours, Tom?	พวกนี้เป็นของคุณไหมทอม?
Are you Tom's mother?	คุณเป็นแม่ของทอมหรือเปล่า?
Can you speak French?	คุณพูดภาษาฝรั่งเศสได้ไหม?
Do you speak English?	คุณพูดภาษาอังกฤษได้ไหม?
Give me a day or two.	ให้เวลาฉันสักวันสองวัน
I am eating an apple.	ฉันกินแอปเปิ้ล
I can see the target.	ฉันเห็นเป้าหมายแล้ว
I don't go to school.	ฉันไม่ไปโรงเรียน
I have a stomachache.	ฉันปวดท้อง
I think you're right.	ฉันคิดว่าคุณพูดถูก
I'm going to be fine.	ฉันจะสบายดี
I'm not at all tired.	ฉันไม่เหนื่อยทั้งหมดเลย
I'm writing a letter.	ฉันกำลังเขียนจดหมาย
She can speak French.	เธอสามารถพูดภาษาฝรั่งเศสได้
That's what Tom said.	นั่นคือสิ่งที่ทอมพูด
The house is haunted.	บ้านถูกผีสิง
This will cost €30.	ราคา 30 ยูโรค่ะ/ครับ
Tom likes to do that.	ทอมชอบทำอย่างนั้น
Tom wants to do that.	ทอมต้องการทำเช่นนั้น
What do you men want?	ผู้ชายคุณต้องการอะไร
What's my punishment?	อะไรคือบทลงโทษของฉัน?
Where is your father?	พ่อของคุณอยู่ที่ไหน?
Where is your school?	โรงเรียนของคุณอยู่ที่ไหน?
You aren't my mother.	คุณไม่ใช่แม่ของฉัน
Your answer is wrong.	คำตอบของคุณผิด
Can you keep a secret?	คุณเก็บไว้เป็นความลับได้ไหม?
Do you enjoy studying?	เธอสนุกกับการเรียนมั้ย?
Does she like oranges?	เธอชอบส้มหรือไม่?
He has a lot of money.	เขามีเงินจำนวนมาก
How long did you stay?	คุณอยู่นานแค่ไหน?
I don't have time now.	ตอนนี้ฉันไม่มีเวลาแล้ว
I have lost my wallet.	ฉันทำกระเป๋าเงินของฉันหาย
I have to go to sleep.	ฉันต้องไปนอนแล้ว
I never liked biology.	ฉันไม่เคยชอบชีววิทยา
I said goodbye to Tom.	ฉันบอกลากับทอม
I want to say goodbye.	ฉันอยากจะบอกลา
I'm going to miss Tom.	ฉันจะคิดถึงทอม
I'm the one they want.	ฉันเป็นคนที่พวกเขาต้องการ
Is that what Tom said?	นั่นคือสิ่งที่ทอมพูดหรือเปล่า?
Is that what you said?	นั่นคือสิ่งที่คุณพูดหรือ?
Is your watch correct?	นาฬิกาข้อมือของคุณถูกต้องหรือไม่
Lay down on the couch.	นอนลงบนโซฟา
Like father, like son.	เหมือนพ่อ เหมือนลูกชาย
Please close the door.	กรุณาปิดประตู
What's wrong with you?	เกิดอะไรขึ้นกับคุณ?
Where is the bathroom?	ห้องน้ำอยู่ที่ไหน?
Who is in charge here?	ใครเป็นผู้รับผิดชอบที่นี่?
All I have is one book.	ฉันมีแค่หนังสือเล่มเดียว
Better late than never.	มาสายดีกว่าไม่มา
I don't agree with you.	ฉันไม่เห็นด้วยกับคุณ
I don't have any money.	ฉันไม่มีเงินเลย
I don't like that name.	ฉันไม่ชอบชื่อนั้น
I don't speak Japanese.	ฉันพูดภาษาญี่ปุ่นไม่ได้
I was in the mountains.	ตอนนั้นฉันอยู่ในเขา
I will gladly help you.	ฉันยินดีที่จะช่วยคุณ
I'm not going with you.	ฉันจะไม่ไปกับคุณ
Is it a recent picture?	นี่เป็นภาพล่าสุดรึเปล่า?
Isn't that what I said?	นั่นคือสิ่งที่ฉันพูดไม่ได้เหรอ?
It doesn't surprise me.	มันไม่แปลกใจเลยสำหรับฉัน
Mind your own business!	ไปยุ่งกับเรื่องของตัวเองเถอะ
She begged him to stay.	เธอขอร้องให้เขาอยู่
Tom wants you to do it.	ทอมต้องการให้คุณทำ
We'll be there at 2:30.	เราจะไปที่นั่นเวลา 2:30 น.
We're going to be fine.	เราจะไม่เป็นไร
What's that boy's name?	เด็กชายคนนั้นชื่ออะไร
Aren't these your books?	พวกนี้ไม่ใช่หนังสือของคุณเหรอ?
He is fond of adventure.	เขาชอบผจญภัย
I like your proposition.	ฉันชอบข้อเสนอของคุณ
I'd like to go with you.	ฉันอยากไปกับคุณ
She'll make a good wife.	เธอจะสร้างภรรยาที่ดี
There's no one with Tom.	ไม่มีใครอยู่กับทอม
They say it's up to you.	พวกเขาบอกว่ามันขึ้นอยู่กับคุณ
What are you looking at?	คุณกำลังมองอะไรอยู่?
Who are you waiting for?	คุณกำลังรอใคร?
Write your address here.	เขียนที่อยู่ของคุณที่นี่
You seem busy right now.	ตอนนี้คุณดูยุ่งมาก
Are you writing a letter?	คุณกำลังเขียนจดหมายหรือไม่?
Did he tell you anything?	เขาบอกอะไรกับคุณบ้างไหม?
How's Tom going to do it?	ทอมจะทำมันได้อย่างไร?
I can't live without you.	ฉันอยู่ไม่ได้โดยไม่มีคุณ
I don't like you anymore.	ฉันไม่ชอบคุณอีกต่อไป
I'm not going to do that.	ฉันจะไม่ทำอย่างนั้น
It's a bit strange to me.	มันค่อนข้างแปลกสำหรับฉัน
It's time to wake Tom up.	ได้เวลาปลุกทอมแล้ว
No one but Tom does that.	ไม่มีใครนอกจากทอมทำเช่นนั้น
One can always find time.	คนหนึ่งสามารถหาเวลาได้เสมอ
Tom and I are doing fine.	ทอมกับฉันสบายดี
Tom didn't do the dishes.	ทอมยังไม่ได้ล้างจาน
Tom does want to do that.	ทอมต้องการทำเช่นนั้น
What are you looking for?	คุณมองหาอะไร?
What do you want with me?	คุณต้องการอะไรจากฉัน?
What does Tom want to do?	ทอมต้องการอะไร
What school do you go to?	คุณไปโรงเรียนไหน
Aren't you going to do it?	คุณจะไม่ทำมันเหรอ?
He's sleeping like a baby.	เขากำลังนอนหลับเหมือนเด็กทารก
I don't like what he said.	ฉันไม่ชอบสิ่งที่เขาพูด
I had Tom take my picture.	ฉันให้ทอมถ่ายรูปฉัน
I hope we didn't wake you.	ฉันหวังว่าเราไม่ได้ปลุกคุณ
I want to buy this jacket.	ฉันอยากซื้อแจ็คเก็ตตัวนี้
I'll go with Tom and Mary.	ฉันจะไปกับทอมกับแมรี่
I'm not going to say that.	ฉันจะไม่พูดอย่างนั้น
It depends on the context.	มันขึ้นอยู่กับบริบท
My work is just beginning.	งานของฉันพึ่งเริ่มเท่านั้น
That's from Tom, isn't it?	นั่นมาจากทอมไม่ใช่หรือ?
We're not going to Boston.	เราจะไม่ไปบอสตัน
Yeah, that's what I'll do.	ใช่นั่นคือสิ่งที่ฉันจะทำ
You are tired, aren't you?	คุณเหนื่อยแล้วไม่ใช่หรือ?
Do you do your own laundry?	คุณซักรีดเสื้อผ้าของตัวเองหรือไม่?
Do you want to say goodbye?	คุณต้องการที่จะบอกลาไหม?
I've always been a fighter.	ฉันเป็นนักสู้เสมอ
I've been focusing on that.	ฉันมุ่งเน้นไปที่นั่น
I've done a lot of skating.	ฉันเล่นสเก็ตมามากแล้ว
I've done a lot of surfing.	ฉันโต้คลื่นไปมากแล้ว
I've lived here since 2013.	ฉันอยู่ที่นี่มาตั้งแต่ปี 2556
It's none of your business.	มันไม่ใช่ธุระของคุณ
Many people like to travel.	ผู้คนมากมายชอบที่จะเดินทาง
Most of us need to do that.	พวกเราส่วนใหญ่ต้องทำเช่นนั้น
Most of us want to do that.	พวกเราส่วนใหญ่ต้องการทำเช่นนั้น
Please make a contribution.	กรุณามีส่วนร่วม
She has a talent for music.	เธอมีความสามารถด้านดนตรี
This is never going to end.	มันจะไม่มีวันจบ
We can't do that right now.	เราไม่สามารถทำสิ่งนั้นได้ในตอนนี้
We want complete sentences.	เราต้องการประโยคที่สมบูรณ์
What are you and Tom up to?	คุณและทอมกำลังทำอะไรอยู่
What are you talking about?	คุณกำลังพูดถึงอะไร?
What would you like to eat?	คุณอยากทานอะไร?
You are always complaining.	คุณบ่นตลอด
You do what you have to do.	คุณทำสิ่งที่คุณต้องทำ
Doesn't Tom want to do that?	ทอมต้องการทำอย่างนั้นไม่ใช่เหรอ?
How are things in Australia?	ออสเตรเลียเป็นอย่างไรบ้าง?
How are you doing in school?	คุณเป็นอย่างไรในโรงเรียน?
I bumped into Tom in Boston.	ฉันชนทอมในบอสตัน
Most people think I'm crazy.	คนส่วนใหญ่คิดว่าฉันบ้า
My guess is that it'll rain.	ฉันเดาว่าฝนจะตก
Oh, no! My passport is gone!	ไม่นะ! พาสปอร์ดฉันหายไปแล้ว!
This is a comfortable chair.	เก้าอี้ตัวนี้นั่งสบายจัง
What are you thinking about?	คุณคิดเกี่ยวกับอะไร?
You're so impatient with me.	เธอใจร้อนกับฉันจังเลย
Did you really tell Tom that?	คุณบอกเรื่องนั้นกับทอมจริงๆ หรือ?
Do you want to do it with me?	คุณต้องการทำมันกับฉันมั้ย
Every problem has a solution.	ทุกปัญหามีทางออก
He asked me what my name was.	เขาถามฉันว่าฉันชื่อฉันคืออะไร
How is your job search going?	หางานเป็นไงบ้าง?
I don't know if there's time.	ฉันไม่รู้ว่ามีเวลาหรือเปล่า
I don't want to go to school.	ฉันไม่อยากไปโรงเรียน
I'm doing this for my family.	ฉันทำสิ่งนี้เพื่อครอบครัวของฉัน
Please turn in your homework.	กรุณาส่งการบ้านของคุณ
Shall we watch the movie now?	พวกเราจะดูหนังตอนนี้เลยมั้ย?
That's because you're a girl.	นั่นเป็นเพราะว่าคุณเป็นผู้หญิง
Tom says he wants to do that.	ทอมบอกว่าเขาต้องการทำอย่างนั้น
Which is the smallest planet?	ดาวเคราะห์ดวงไหนเล็กที่สุด?
You always forget your money.	คุณลืมเงินของคุณเป็นประจำ
"Thank you." "You're welcome."	"ขอบคุณ" "ไม่เป็นอะไร"
All that glitters is not gold.	สิ่งที่เปล่งประกายนั่นไม่ใช่ทองคำ
Are you really that desperate?	นี่คุณสิ้นหวังขนาดนั้นเลยเหรอ?
Do you have a pen in your car?	คุณมีปากกาอยู่ในรถไหม?
Does Tom need to go right now?	ทอมต้องไปตอนนี้หรือไม่?
I just don't know what to say.	ฉันแค่ไม่รู้จะพูดอะไร
I prefer not to talk about it.	เราไม่อยากคุยเกี่ยวกับเรื่องนี้
I want to do better next time.	ฉันต้องการที่ทำดีขึึ้นในเวลาหน้า
I want to do that immediately.	ฉันต้องการที่จะทำมันในทันที
I was accustomed to hard work.	ฉันคุ้นชินกับการทำงานหนัก
I wish you could come with us.	ฉันหวังว่าคุณจะมากับเราได้
I've been busy for three days.	ฉันยุ่งเป็นเวลาสามวันแล้ว
Look at me when I talk to you!	มองมาที่ฉันเมื่อฉันคุยกับคุณ!
The beach isn't far from here.	ชายหาดอยู่ไม่ไกลจากที่นี่
Tom didn't expect this at all.	ทอมไม่ได้คาดหวังสิ่งนี้เลย
Tom's imagination was aroused.	จินตนาการของทอมถูกกระตุ้น
What does Tom want to achieve?	ทอมต้องการบรรลุอะไร
What made Tom do such a thing?	อะไรทำให้ทอมทำอย่างนั้น
Who does your laundry for you?	ใครซักเสื้อผ้าของคุณให้คุณ
Why weren't we told the truth?	ทำไมพวกเราไม่ได้ถูกบอกความจริงมา?
You're not going to like this.	คุณจะไม่ชอบสิ่งนี้
Did Tom show up at the meeting?	ทอมไปที่ประชุมมั๊ย?
Do you think Tom could help us?	คุณคิดว่าทอมช่วยเราได้มั้ย?
Does Tom need to go right away?	ทอมจำเป็นต้องไปเลยมั้ย?
He disappeared without a trace.	ขาหายตัวไปอย่างไร้ร่องรอย
How long did you talk with Tom?	คุณคุยกับทอมมานานเท่าไหร่แล้ว?
I can't live that kind of life.	ฉันใช้ชีวิตแบบนั้นไม่ได้
I thought that they'd heard us.	ฉันคิดไปว่าพวกเขาจะได้ยินเรา
Tom and I are going to be fine.	ทอมกับฉันจะสบายดี
What's that have to do with me?	สิ่งนั้นเกี่ยวข้องกับฉันอย่างไร?
Do Tom and Mary have to do that?	ทอมกับแมรี่ต้องทำอย่างนั้นเหรอ?
I don't know if I have the time.	ฉันไม่รู้ว่ามีเวลามั้ย
What do you think of Tom's poem?	คุณคิดอย่างไรกับบทกวีของทอม?
What time did Tom say he'd come?	ทอมบอกว่าเขาจะมาเวลาเท่าไหร่
What's your favorite snack food?	อาหารขบเคี้ยวที่คุณชอบที่สุดคืออะไร
You have lovely eyes, don't you?	คุณมีดวงตาที่น่ารัก หรือไม่ใช่
Are we supposed to be doing this?	เราควรที่จะทำแบบนี้มั้ยเนี่ย?
Do you know who broke the window?	คุณรู้หรือเปล่าว่าใครทำกระจกแตก?
I can't sleep with the lights on.	ฉันนอนเปิดไฟไม่ได้
I don't know who to consult with.	ฉันไม่รู้ว่าปรึกษากับใครดี
Thanks to you, I arrived on time.	ขอบคุณกับคุณ ฉันมาถึงตรงเวลา
Tom doesn't want to talk to Mary.	ทอมไม่อยากคุยกับแมรี่
Tom said he was asked to do that.	ทอมพูดว่าเขาขอให้ทำอย่างนั้น
Tom said he was enjoying himself.	ทอมพูดว่าเขาสนุกกับตัวเขาเอง
Tom said he was happy to do that.	ทอมพูดว่าเขามีความสุขที่ได้ทำมัน
