Wow!	Vau!
I'm sorry.	Žao mi je.
I'm tired.	Umoran sam.
I'm yours.	Tvoj sam.
I'm yours.	Tvoja sam.
It is new.	То је ново.
It rained.	Падала је киша.
It snowed.	Падао је снег.
It stinks.	Смрди.
It stinks.	Заудара.
It's cool.	Hladno je.
It's cool.	Kul je.
It's dark.	Mračno je.
It's dark.	Мрачно је.
It's fair.	Fer je.
It's fair.	To je fer.
It's fine.	Dobro je.
It's fine.	To je dobro.
It's fine.	Fino je.
It's good.	Dobro je.
It's here.	Ovde je.
It's huge.	Ogromno je.
It's mine.	Moje je.
It's okay.	Okej je.
It's ours.	Naše je.
It's real.	Stvarno je.
It's real.	Realno je.
It's sand.	To je pesak.
It's time.	Vreme je.
Let me in.	Пусти ме унутра.
Let's see.	Da vidimo.
Let's see.	Da pogledamo.
Let's see.	Hajde da vidimo.
Let's see.	Hajde da pogledamo.
Look back!	Okreni se!
Move over.	Ближе.
Of course!	Наравно!
Of course.	Наравно.
Of course.	Svakako.
Of course.	Свакако.
Open fire!	Отвори паљбу!
Pardon me?	Izvini?
Read this.	Прочитај ово.
Read this.	Читај ово.
Read this.	Прочитајте ово.
Read this.	Читајте ово.
She tried.	Probala je.
She tried.	Ona je probala.
She tried.	Pokušala je.
She tried.	Ona je pokušala.
She walks.	Hoda.
She walks.	Ona hoda.
She walks.	Ona šeta.
She walks.	Šeta.
Sign here.	Потпиши овде.
Sign here.	Потпишите овде.
Sign here.	Потпиши се овде.
Sign here.	Потпишите се овде.
Sit tight.	Sedi mirno.
Stay calm.	Остани миран.
Stay calm.	Остани мирна.
Stay calm.	Остани смирен.
Stay calm.	Остани смирена.
Step back.	Povuci se unazad.
Step back.	Повуци се.
Stop that!	Престани!
Stop that!	Престани с тим!
Stop that!	Доста!
Take care!	Čuvaj se!
Take care.	Budi oprezan.
Take care.	Budite oprezni.
Take care.	Budi oprezna.
Take care.	Budi pažljiv.
Take care.	Budi pažljiva.
Take care.	Budite pažljivi.
Take care.	Budi obazriv.
Take care.	Budite obazrivi.
Take care.	Budi obazriva.
Tom'll go.	Tom će otići.
Tom'll go.	Tom će ići.
Tom'll go.	Tom će da ode.
Tom'll go.	Tom će da ide.
Try again.	Покушај поново.
Try again.	Покушајте поново.
Turn left.	Скрени лево.
Turn left.	Скрени улево.
Turn left.	Скрени налево.
Turn left.	Скрените лево.
Turn left.	Скрените улево.
Turn left.	Скрените налево.
Watch out!	Pazi!
We failed.	Nismo uspeli.
We forgot.	Zaboravili smo.
We've won!	Pobedili smo!
Well done!	Свака част!
Who cares?	Koga briga?
Who knows?	Ко зна?
Wonderful!	Divno!
Wonderful!	Prelepo!
Wonderful!	Predivno!
You tried.	Probao si.
You tried.	Probala si.
You tried.	Pokušao si.
You tried.	Pokušala si.
All aboard!	Ukrcavanje!
Am I wrong?	Да ли грешим?
Am I wrong?	Da li grešim?
Am I wrong?	Grešim li?
Am I wrong?	Грешим ли?
Are you OK?	Јеси ли добро?
Are you OK?	Да ли си добро?
Are you in?	Da li si unutra?
Be patient.	Буди стрпљив.
Be patient.	Будите стрпљиви.
Be patient.	Бути стрпљива.
Birds sing.	Птице певају.
Bring food.	Donesi hranu.
Bring food.	Donesite hranu.
Bring help.	Dovedi pomoć.
Bring help.	Dovedite pomoć.
Bring wine.	Donesi vino.
Bring wine.	Donesite vino.
Can I help?	Да ли могу да помогнем?
Can I help?	Могу ли да помогнем?
Carry this.	Nosi ovo.
Carry this.	Nosite ovo.
Carry this.	Ponesi ovo.
Carry this.	Ponesite ovo.
Check that.	Pogledaj to.
Check that.	Pogledajte ono.
Check that.	Proveri ono.
Check that.	Proveri to.
Check that.	Proverite ono.
Check that.	Proverite to.
Check that.	Pogledajte to.
Check this.	Proveri ovo.
Check this.	Proverite ovo.
Check this.	Pogledaj ovo.
Check this.	Pogledajte ovo.
Choose one.	Изабери један.
Choose one.	Изабери једну.
Choose one.	Изабери једно.
Choose one.	Изаберите један.
Choose one.	Изаберите једну.
Choose one.	Изаберите једно.
Come again.	Dođi ponovo.
Come again.	Dođite opet.
Come again.	Dođi opet.
Come again.	Dođite ponovo.
Come alone.	Dođi sam.
Come alone.	Dođi sama.
Come alone.	Dođite sami.
Come along.	Pođi s nama.
Come along.	Priključi se.
Come quick!	Dođi, brzo!
Don't jump!	Ne skači!
Don't jump!	Nemoj da skačeš!
Don't jump!	Ne skačite!
Don't jump!	Nejmote da skačete!
Don't look.	Ne gledaj.
Don't look.	Nemoj da gledaš.
Don't look.	Ne gledajte.
Don't look.	Nemojte da gledate.
Don't move!	Ne pomeraj se!
Don't move!	Ne mrdaj se!
Don't move!	Nemoj da se pomeraš!
Don't move!	Ne pomerajte se!
Don't move!	Nemojte da se pomerate!
Don't push.	Ne guraj.
Don't push.	Ne gurajte.
Don't push.	Nemojte da gurate.
Don't push.	Nemoj da guraš.
Don't rush.	Ne brzgaj.
Don't rush.	Ne brzgajte.
Don't rush.	Nemoj da brzgaš.
Don't rush.	Nemojte da brzgate.
Don't rush.	Ne žuri.
Don't rush.	Ne žurite.
Don't rush.	Nemoj da žuriš.
Don't rush.	Nemojte da žurite.
Don't sing.	Ne pevaj.
Don't sing.	Nemoj da pevaš.
Don't sing.	Ne pevajte.
Don't sing.	Nemojte da pevate.
Don't stop.	Ne prestaj.
Don't stop.	Nemoj da prestaneš.
Don't stop.	Ne prestajte.
Don't stop.	Nemojte da prestanete.
Don't stop.	Ne staj.
Don't stop.	Nemoj da staješ.
Don't stop.	Nemoj da staneš.
Don't stop.	Nemoj da prestaješ.
Don't stop.	Nemojte da prestajete.
Don't stop.	Ne stajte.
Don't stop.	Nemojte da stajete.
Don't stop.	Nemojte da stanete.
Don't talk.	Ne govori.
Don't talk.	Nemoj da govoriš.
Don't talk.	Ne govorite.
Don't talk.	Nemojte da govorite.
Don't talk.	Ne pričaj.
Don't talk.	Nemoj da pričaš.
Don't talk.	Nemojte da pričate.
Don't talk.	Ne pričajte.
Don't talk.	Ne razgovaraj.
Don't talk.	Ne razgovarajte.
Don't talk.	Nemoj da razgovaraš.
Don't talk.	Nemojte da razgovarate.
Don't yell.	Ne viči.
Don't yell.	Ne vičite.
Don't yell.	Nemoj da vičeš.
Don't yell.	Nemojte da vičete.
Eat slowly.	Једи споро.
Eat slowly.	Једите споро.
Examine it.	Istraži to.
Examine it.	Istraži ga.
Examine it.	Istraži je.
Examine it.	Istražite to.
Examine it.	Istražite ga.
Examine it.	Istražite je.
Follow Tom.	Prati Toma.
Follow Tom.	Pratite Toma.
Follow him.	Прати га.
Follow him.	Пратите га.
Forget Tom.	Zaboravi Toma.
Forget Tom.	Zaboravite Toma.
Forget him.	Zaboravi ga.
Forget him.	Zaboravi na njega.
Forget him.	Zaboravite ga.
Forget him.	Zaboravite na njega.
Forgive me.	Опрости ми.
Forgive me.	Опростите ми.
Forgive us.	Oprosti nam.
Forgive us.	Oprostite nam.
Get a life!	Živi život!
Get a life!	Водите свој живот!
Get inside.	Uđi.
Get inside.	Uđi unutra.
Get inside.	Uđite.
Get inside.	Uđite unutra.
Get moving.	Mrdaj se.
Get moving.	Pokreni se.
Get moving.	Pokrenite se.
He gave in.	Он је одустао.
He gave in.	Он се предао.
He gave in.	Одустао је.
He gave in.	Предао се.
He is kind.	Он је љубазан.
He is kind.	Љубазан је.
He is nice.	Он је добар.
He is nice.	Добар је.
Hey, relax.	Hej, opusti se.
Hey, relax.	Hej, opušteno.
How absurd!	Kako apsurdno!
How clever!	Kako pametno!
How tragic!	Kakva tragedija!
Hurry back.	Пожури назад.
I disagree.	Ne slažem se.
I love you.	Volim te.
I miss him.	Nedostaje mi.
I miss him.	Недостаје ми.
I miss you.	Nedostaješ mi.
I need you.	Trebaš mi.
I panicked.	Paničio sam.
I panicked.	Uspaničio sam se.
I promised.	Obećao sam.
I promised.	Obećala sam.
I remember.	Sećam se.
I remember.	Pamtim.
I resigned.	Rezignirao sam.
I resigned.	Rezignirala sam.
I survived.	Preživeo sam.
I survived.	Preživela sam.
I want you.	Želim te.
I want you.	Желим те.
I'd accept.	Prihvatio bih.
I'd accept.	Prihvatila bih.
I'd accept.	Ja bih prihvatio.
I'd accept.	Ja bih prihvatila.
I'll check.	Proveriću.
I'll check.	Pogledaću.
I'll drive.	Voziću.
I'll hurry.	Požuriću.
I'll shoot.	Pucaću.
I'll stand.	Stajaću.
I'll start.	Počeću.
I'll start.	Započeću.
I'm a hero.	Ja sam heroj.
I'm afraid.	Bojim se.
I'm afraid.	Plašim se.
I'm afraid.	Uplašen sam.
I'm afraid.	Uplašena sam.
I'm guilty.	Kriv sam.
I'm guilty.	Kriva sam.
I'm hungry.	Gladan sam.
I'm immune.	Imun sam.
I'm immune.	Imuna sam.
I'm joking.	Šalim se.
I'm losing.	Gubim.
I'm paying.	Ja plaćam.
I'm paying.	Ја сам тај који плаћа.
I'm rested.	Odmoran sam.
I'm rested.	Odmorna sam.
I'm ruined.	Uništen sam.
I'm ruined.	Uništena sam.
I'm single.	Solo sam.
I'm so fat.	Tako sam debeo.
I'm thirty.	Imam 30.
I'm trying.	Pokušavam.
I'm trying.	Trudim se.
I'm wasted.	Iscrpljen sam.
I'm wasted.	Iscrpljena sam.
It happens.	Dešava se.
It's blank.	Prazno je.
It's clear.	Jasno je.
It's clear.	Čisto je.
It's close.	Blizu je.
It's empty.	Prazno je.
It's empty.	Prazna je.
It's empty.	Prazan je.
It's right.	Dobro je.
It's right.	Ispravno je.
It's safer.	Sigurni je.
It's safer.	Bezbednije je.
It's safer.	Sigurnije je.
It's scary.	Strašno je.
It's shiny.	Sjajno je.
It's stuck.	Zaglavilo se.
It's there.	Tamo je.
Just relax.	Само се опусти.
Just relax.	Само се опустите.
Keep quiet!	Tišina!
Keep quiet.	Tišina.
Look there.	Погледај тамо.
Look there.	Погледајте тамо.
Mama cried.	Мама је плакала.
Never mind!	Nema veze!
Never mind!	Nije bitno!
No problem.	Нема проблема.
No problem.	Није проблем.
Please sit.	Молим вас, седите.
Please sit.	Молим те, седи.
Quiet down.	Стишај се.
Quiet down.	Стишајте се.
She smiled.	Smejala se.
She smiled.	Smešila se.
She smiled.	Nasmejala se.
She smiled.	Nasmešila se.
She smiled.	Ona se smejala.
She smiled.	Ona se smešila.
She smiled.	Ona se nasmejala.
She smiled.	Ona se nasmešila.
Stay sharp.	Буди спреман.
Stay there.	Остани тамо.
Stay there.	Стоји тамо.
Step aside.	Skloni se.
Step aside.	Pomeri se.
Step aside.	Napravi mesto.
Step aside.	Sklonite se.
Step aside.	Pomerite se.
Step aside.	Napravite mesto.
Step aside.	Napravi mesta.
Step aside.	Napravite mesta.
Study hard.	Uči naporno.
Take a nap.	Odspavaj malo.
That hurts.	То боли.
They voted.	Glasali su.
They voted.	Oni su glasali.
Time flies.	Vreme leti.
Tom jumped.	Tom je skočio.
Tom nodded.	Том је климнуо главом.
Tom shaved.	Том се обријао.
Tom winked.	Tom je namignuo.
Tom'll cry.	Tom će plakati.
Tom'll cry.	Tom će da plače.
Tom'll die.	Tom će da umre.
Tom'll die.	Tom će umreti.
Tom'll pay.	Tom će platiti.
Tom'll pay.	Tom će da plati.
Turn right.	Скрени десно.
Turn right.	Скрени удесно.
Turn right.	Скрени надесно.
Turn right.	Скрените десно.
Turn right.	Скрените удесно.
Turn right.	Скрените надесно.
We're here.	Ovde smo.
We're here.	Tu smo.
Who are we?	Ko smo mi?
Who are we?	Ко смо ми?
Wood burns.	Drvo gori.
You'll see.	Videćeš.
You'll see.	Видећеш.
You're sad.	Ti si tužan.
You're sad.	Ти си тужан.
You're sad.	Ti si tužna.
You're sad.	Ти си тужна.
You're sad.	Tužan si.
You're sad.	Тужан си.
You're sad.	Tužna si.
You're sad.	Тужна си.
You've won!	Pobedio si!
You've won!	Pobedila si!
You've won!	Pobedili ste!
Be tolerant.	Budi tolerantan.
Be vigilant.	Budi oprezan.
Be vigilant.	Budite oprezni.
Be vigilant.	Budi oprezna.
Be watchful.	Budi oprezan.
Be watchful.	Budite oprezni.
Be watchful.	Budi oprezna.
Be watchful.	Budi pažljiv.
Be watchful.	Budi pažljiva.
Be watchful.	Budite pažljivi.
Be yourself.	Буди свој.
Be yourself.	Буди своја.
Be yourself.	Будите своји.
Beer's good.	Pivo je dobro.
Check again.	Proveri opet.
Check again.	Proveri ponovo.
Check again.	Pogledaj opet.
Check again.	Pogledaj ponovo.
Check again.	Proverite opet.
Check again.	Proverite ponovo.
Check again.	Pogledajte opet.
Check again.	Pogledajte ponovo.
Come aboard.	Ukrcaj se.
Come aboard.	Ukrcajte se.
Come closer.	Dođi bliže.
Come closer.	Dođite bliže.
Come closer.	Priđi bliže.
Come closer.	Priđite bliže.
Come inside.	Dođi unutra.
Come inside.	Dođite unutra.
Comfort Tom.	Uteši Toma.
Comfort Tom.	Utešite Toma.
Contact Tom.	Kontaktiraj Toma.
Contact Tom.	Kontaktirajte Toma.
Don't argue.	Ne svađaj se.
Don't argue.	Nemoj da se svađaš.
Don't argue.	Ne svađajte se.
Don't argue.	Nemojte da se svađate.
Don't cheat.	Ne varaj.
Don't cheat.	Ne varajte.
Don't cheat.	Nemoj da varaš.
Don't cheat.	Nemojte da varate.
Don't fight.	Ne tuci se.
Don't fight.	Nemoj da se tučeš.
Don't fight.	Ne tucite se.
Don't fight.	Nemojte da se tučete.
Don't fight.	Ne svađaj se.
Don't fight.	Nemoj da se svađaš.
Don't fight.	Ne svađajte se.
Don't fight.	Nemojte da se svađate.
Don't smile.	Ne smej se.
Don't smile.	Nemoj da se smeješ.
Don't smile.	Ne smejte se.
Don't smile.	Nemojte da se smejete.
Don't speak.	Ne govori.
Don't speak.	Nemoj da govoriš.
Don't speak.	Ne govorite.
Don't speak.	Nemojte da govorite.
Don't speak.	Ne pričaj.
Don't speak.	Nemoj da pričaš.
Don't speak.	Nemojte da pričate.
Don't speak.	Ne pričajte.
Don't stand.	Ne stoji.
Don't stand.	Nemoj da stojiš.
Don't stare.	Ne bulji.
Don't stare.	Ne bleni.
Don't stare.	Ne bleji.
Don't stare.	Ne buljite.
Don't stare.	Ne blenite.
Don't stare.	Ne blejite.
Don't stare.	Nemoj da buljiš.
Don't stare.	Nemojte da buljite.
Don't stare.	Nemoj da bleneš.
Don't stare.	Nemojte da blenete.
Don't stare.	Nemoj da blejiš.
Don't stare.	Nemojte da blejite.
Finish this.	Završite ovo.
Finish this.	Završi ovo.
Finish this.	Dovrši ovo.
Finish this.	Dovršite ovo.
Get changed.	Presvuci se.
Get changed.	Presvucite se.
Get dressed.	Obuci se.
Get dressed.	Obucite se.
Get serious!	Uozbilji se!
Get serious!	Uozbiljite se!
Get started.	Počni.
Get started.	Počnite.
Go on board.	Ukrcajte se.
Go on board.	Укрцајте се.
Go straight.	Idite pravo.
Go straight.	Идите право.
Go straight.	Иди право.
Go straight.	Idi pravo.
How are you?	Kako ste?
How are you?	Како сте?
I am a monk.	Ja sam monah.
I confessed.	Priznao sam.
I confessed.	Priznala sam.
I exercised.	Vežbao sam.
I exercised.	Vežbala sam.
I hate dogs.	Ja mrzim pse.
I like cats.	Volim mačke.
I like dogs.	Volim pse.
I overslept.	Uspavao sam se.
I overslept.	Uspavala sam se.
I recovered.	Oporavio sam se.
I recovered.	Oporavila sam se.
I was angry.	Био сам љут.
I was angry.	Bio sam ljut.
I was angry.	Била сам љута.
I was angry.	Bila sam ljuta.
I'll cancel.	Otkazaću.
I'll change.	Promeniću.
I'll change.	Presvući ću se.
I'll manage.	Uspeću.
I'll scream.	Vikaću.
I'll scream.	Vrištaću.
I'm adopted.	Usvojen sam.
I'm adopted.	Usvojena sam.
I'm ashamed.	Stidim se.
I'm ashamed.	Postiđen sam.
I'm ashamed.	Postiđena sam.
I'm baffled.	Zbunjen sam.
I'm baffled.	Zbunjena sam.
I'm engaged.	Veren sam.
I'm engaged.	Verena sam.
I'm fasting.	Postim.
I'm furious.	Ljut sam.
I'm furious.	Ljuta sam.
I'm kidding.	Zezam se.
I'm nervous.	Nervozan sam.
I'm nervous.	Nervozna sam.
I'm neutral.	Prirodan sam.
I'm neutral.	Prirodna sam.
I'm not old.	Nisam star.
I'm psyched.	Uzbuđen sam.
I'm psyched.	Uzbuđena sam.
I'm relaxed.	Opušten sam.
I'm relaxed.	Opuštena sam.
I'm staying.	Ostajem.
I'm teasing.	Zadirkujem te.
I'm through.	Gotov sam.
I'm through.	Gotova sam.
I'm touched.	Dirnut sam.
I'm touched.	Dirnuta sam.
I'm trapped.	Zarobljen sam.
I'm trapped.	Zarobljena sam.
I'm unarmed.	Nenaoružan sam.
I'm unarmed.	Nenaoružana sam.
I'm waiting.	Čekam.
I'm working.	Radim.
I'm worried.	Zabrinut sam.
I'm worried.	Zabrinuta sam.
I'm wounded.	Povređen sam.
I'm wounded.	Povređena sam.
I've failed.	Nisam uspeo.
I've failed.	Nisam uspela.
Ignore that.	Ignoriši to.
Ignore that.	Ignorišite to.
Ignore them.	Ignoriši ih.
Ignore them.	Ignorišite ih.
Is it clean?	Da li je čisto?
Is it clean?	Да ли је чисто?
Is it clean?	Је ли чисто?
Is it clean?	Je li čisto?
Is it clean?	Jel čisto?
Is it clean?	Јел чисто?
It happened.	Desilo se.
It suits me.	To mi odgovara.
It suits me.	То ми одговара.
It's futile.	Uzaludno je.
It's locked.	Zaključano je.
It's normal.	Normalno je.
Keep trying.	Настави да се трудиш.
Keep trying.	Настави да покушаваш.
Keep trying.	Наставите да се трудите.
Keep trying.	Наставите да покушавате.
Look around.	Погледај унаоколо.
Money talks.	Novac priča.
Nice timing.	Баш на време.
Nobody came.	Niko nije došao.
Nobody died.	Нико није умро.
Please come.	Molim te, dođi.
Please come.	Molim vas, dođite.
Stop moving!	Престани да се крећеш!
Stop moving!	Престаните да се крећете!
Stop moving!	Не мрдај!
Stop moving!	Не мрдај се!
Stop moving!	Престани да се мрдаш!
Stop moving!	Престаните да се мрдате!
That's done.	To je urađeno.
That's fine.	To je dobro.
That's fine.	To je fino.
That's good.	To je dobro.
That's okay.	To je okej.
That's over.	To je gotovo.
That's over.	To je završeno.
Think again.	Razmisli opet.
Think again.	Razmisli ponovo.
Tom blushed.	Том је поцрвенео.
Tom frowned.	Tom se namrštio.
Tom is lazy.	Tom je lenj.
Tom kneeled.	Том је клекнуо.
Tom'll call.	Tom će zvati.
Tom'll call.	Tom će da zove.
Tom'll call.	Tom će pozvati.
Tom'll call.	Tom će da pozove.
Tom'll come.	Tom će doći.
Tom'll come.	Dom će da dođe.
Tom'll help.	Tom će pomoći.
Tom'll help.	Tom će da pomogne.
Tom'll know.	Tom će znati.
Tom'll know.	Tom će da zna.
Tom'll live.	Tom će živeti.
Tom'll live.	Tom će da živi.
Tom'll lose.	Tom će izgubiti.
Tom'll lose.	Tom će da izgubi.
Tom'll quit.	Tom će odustati.
Tom'll quit.	Tom će da odustane.
Tom'll stay.	Tom će ostati.
Tom'll stay.	Tom će da ostane.
Tom'll talk.	Tom će pričati.
Tom'll talk.	Tom će razgovarati.
Tom'll talk.	Tom će da razgovara.
Tom'll talk.	Tom će da priča.
Tom'll wait.	Tom će čekati.
Tom'll wait.	Tom će sačekati.
Tom'll wait.	Tom će pričekati.
Tom'll wait.	Tom će da sačeka.
Tom'll wait.	Tom će da čeka.
Tom'll wait.	Tom će da pričeka.
Tom's alone.	Том је сам.
Turn around.	Окрени се.
Turn around.	Окрените се.
Walk slowly.	Hodaj polako.
Walk slowly.	Hodajte polako.
We can't go.	Ne možemo ići.
We can't go.	Не можемо ићи.
We hate Tom.	Mrzimo Toma.
We like him.	Он нам се свиђа.
What an ego!	Kakav ego!
What an ego!	Какав его!
What's this?	Šta je ovo?
Who's first?	Ko je prvi?
Who's first?	Ko je prva?
Work slowly.	Radi polako.
Work slowly.	Radite polako.
Am I in love?	Jesam li zaljubljen?
Am I in love?	Jesam li zaljubljena?
Am I in love?	Da li sam zaljubljen?
Am I in love?	Da li sam zaljubljena?
Anybody home?	Има ли некога у кући?
Anything new?	Nešto novo?
Be realistic!	Буди реалан!
Be realistic!	Будите реални!
Be realistic!	Буди реална!
Bring backup.	Dovedi pojačanje.
Bring backup.	Dovedite pojačanje.
Can you cook?	Umeš li da kuvaš?
Can you cook?	Умеш ли да куваш?
Can you cook?	Znaš li da kuvaš?
Can you cook?	Знаш ли да куваш?
Check around.	Pogledaj okolo.
Check around.	Proveri okolo.
Check around.	Pogledajte okolo.
Check around.	Proverite okolo.
Come forward.	Priđi.
Come forward.	Priđite.
Come quickly!	Dođi brzo!
Come quickly!	Dođite brzo!
Don't go yet.	Ne idi još.
Don't scream.	Ne viči.
Don't scream.	Ne vičite.
Don't scream.	Nemoj da vičeš.
Don't scream.	Nemojte da vičete.
Don't scream.	Ne deri se.
Don't scream.	Nemoj da se dereš.
Don't scream.	Ne derite se.
Don't scream.	Nemojte da se derete.
Don't slouch.	Ne razvlači se.
Don't slouch.	Ne razvlačite se.
Don't slouch.	Nemoj da se razvlačiš.
Don't slouch.	Nemojte da se razvlačite.
Drive faster.	Vozi brže.
Drive faster.	Vozite brže.
Drive safely.	Вози пажљиво.
Drive slowly.	Vozi polak.
Drive slowly.	Vozite polako.
Drive slowly.	Vozi sporo.
Drive slowly.	Vozite sporo.
Easy does it.	Само полако!
Easy does it.	Samo polako!
Examine them.	Istraži ih.
Examine them.	Istražite ih.
Examine this.	Istraži ovo.
